candidate_id,rank,score,reasoning
CAND_0081846,1,0.08417684648843499,"Strong candidate with 6.7 years of experience and high semantic match to the job description (score: 0.084). Demonstrates core competencies in key required areas including Python, Pytorch."
CAND_0080766,2,0.08361843985483357,"Strong candidate with 8.8 years of experience and high semantic match to the job description (score: 0.084). Demonstrates core competencies in key required areas including Python, Milvus."
CAND_0008425,3,0.08256176234818109,"Strong candidate with 7.8 years of experience and high semantic match to the job description (score: 0.083). Demonstrates core competencies in key required areas including Python, Nlp."
CAND_0055905,4,0.08233909721385209,"Strong candidate with 8.1 years of experience and high semantic match to the job description (score: 0.082). Demonstrates core competencies in key required areas including Llms, Python."
CAND_0005538,5,0.08228531908153083,"Strong candidate with 5.9 years of experience and high semantic match to the job description (score: 0.082). Demonstrates core competencies in key required areas including Python, Pytorch."
CAND_0033861,6,0.07759993003361072,"Strong candidate with 8.0 years of experience and high semantic match to the job description (score: 0.078). Demonstrates core competencies in key required areas including Pinecone, Weaviate, Milvus."
CAND_0002025,7,0.07673306940443705,"Strong candidate with 5.9 years of experience and high semantic match to the job description (score: 0.077). Demonstrates core competencies in key required areas including Pinecone, Weaviate, Python."
CAND_0064904,8,0.07254446661204732,"Strong candidate with 4.9 years of experience and high semantic match to the job description (score: 0.073). Demonstrates core competencies in key required areas including Llms, Weaviate, Python."
CAND_0039754,9,0.07137300884077503,"Strong candidate with 16.2 years of experience and high semantic match to the job description (score: 0.071). Demonstrates core competencies in key required areas including Llms, Weaviate, Python."
CAND_0086022,10,0.07121339687740542,"Strong candidate with 5.3 years of experience and high semantic match to the job description (score: 0.071). Demonstrates core competencies in key required areas including Pinecone, Nlp, Pytorch."
CAND_0071974,11,0.068096530053686,"Strong candidate with 7.8 years of experience and high semantic match to the job description (score: 0.068). Demonstrates core competencies in key required areas including Pinecone, Weaviate, Rag."
CAND_0055992,12,0.0674269379551822,"Strong candidate with 16.9 years of experience and high semantic match to the job description (score: 0.067). Demonstrates core competencies in key required areas including Milvus, Rag."
CAND_0044222,13,0.06740652313770491,"Strong candidate with 7.7 years of experience and high semantic match to the job description (score: 0.067). Demonstrates core competencies in key required areas including Weaviate, Nlp."
CAND_0077337,14,0.06731660432772502,"Strong candidate with 7.0 years of experience and high semantic match to the job description (score: 0.067). Demonstrates core competencies in key required areas including Pinecone, Llms, Python."
CAND_0005260,15,0.06711609821857427,"Strong candidate with 5.2 years of experience and high semantic match to the job description (score: 0.067). Demonstrates core competencies in key required areas including Python, Nlp, Rag."
CAND_0007411,16,0.06692898065432905,"Strong candidate with 8.0 years of experience and high semantic match to the job description (score: 0.067). Demonstrates core competencies in key required areas including Pinecone, Pytorch."
CAND_0041611,17,0.06672904956879575,"Strong candidate with 6.4 years of experience and high semantic match to the job description (score: 0.067). Demonstrates core competencies in key required areas including Weaviate, Nlp, Pytorch."
CAND_0008239,18,0.06634876741605032,"Strong candidate with 4.0 years of experience and high semantic match to the job description (score: 0.066). Demonstrates core competencies in key required areas including Weaviate, Python, Milvus."
CAND_0046064,19,0.06541720532093852,"Strong candidate with 8.9 years of experience and high semantic match to the job description (score: 0.065). Demonstrates core competencies in key required areas including Pinecone, Python."
CAND_0007460,20,0.0652682665329085,"Strong candidate with 4.7 years of experience and high semantic match to the job description (score: 0.065). Demonstrates core competencies in key required areas including Weaviate, Nlp, Rag."
CAND_0062247,21,0.06457840524184491,"Strong candidate with 7.3 years of experience and high semantic match to the job description (score: 0.065). Demonstrates core competencies in key required areas including Pinecone, Rag."
CAND_0082618,22,0.06456650688894297,"Strong candidate with 3.7 years of experience and high semantic match to the job description (score: 0.065). Demonstrates core competencies in key required areas including Llms, Pytorch."
